Steffon Baratheon, man
Cassana Estermont, woman
Robert Baratheon, man
Cersei Lannister, woman
Stannis Baratheon, man
Selyse Baratheon, woman
Renly Baratheon, man
Margaery Tyrell, woman
Gendry, man
Joffrey Baratheon, man
Myrcella Baratheon, woman
Tommen Baratheon, man
Shireen Baratheon, woman

Steffon Baratheon, husband, Cassana Estermont
Steffon Baratheon, father, Robert Baratheon
Steffon Baratheon, father, Stannis Baratheon
Steffon Baratheon, father, Renly Baratheon
Cassana Estermont, mother, Robert Baratheon
Cassana Estermont, mother, Stannis Baratheon
Cassana Estermont, mother, Renly Baratheon

Robert Baratheon, husband, Cersei Lannister
Robert Baratheon, father, Gendry
Robert Baratheon, father, Joffrey Baratheon
Robert Baratheon, father, Myrcella Baratheon
Robert Baratheon, father, Tommen Baratheon
Cersei Lannister, mother, Gendry
Cersei Lannister, mother, Joffrey Baratheon
Cersei Lannister, mother, Myrcella Baratheon
Cersei Lannister, mother, Tommen Baratheon

Stannis Baratheon, husband, Selyse Baratheon
Stannis Baratheon, father, Shireen Baratheon

Renly Baratheon, husband, Margaery Tyrell
Selyse Baratheon, mother, Shireen Baratheon